범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법,p_bh,sig_bh
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.25,SP500_x_GPR,0.00453,0.00904,0.6167,339,84.8,5,HAC+IA(bw=5),0.851704918032787,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.5,SP500_z,0.00663,0.00334,0.0479,339,169.5,5,HAC+IA(bw=5),0.1748793103448276,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.5,GPR_custom_z,-0.00108,0.00323,0.7376,339,169.5,5,HAC+IA(bw=5),0.9111529411764707,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.5,SP500_x_GPR,0.00094,0.01168,0.9361,339,169.5,5,HAC+IA(bw=5),0.9731732673267327,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.75,SP500_z,0.00647,0.00334,0.0535,339,254.2,5,HAC+IA(bw=5),0.1870909090909091,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.75,GPR_custom_z,0.0053,0.00351,0.1316,339,254.2,5,HAC+IA(bw=5),0.33954216867469883,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.75,SP500_x_GPR,0.00319,0.01095,0.771,339,254.2,5,HAC+IA(bw=5),0.9148644067796611,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.9,SP500_z,0.00687,0.00401,0.0872,339,305.1,5,HAC+IA(bw=5),0.26569565217391306,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.9,GPR_custom_z,0.00234,0.00516,0.6504,339,305.1,5,HAC+IA(bw=5),0.8699617834394905,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.9,SP500_x_GPR,0.00158,0.01194,0.895,339,305.1,5,HAC+IA(bw=5),0.9719536082474227,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.95,SP500_z,0.01157,0.00477,0.0159,339,322.1,5,HAC+IA(bw=5),0.07905882352941176,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.95,GPR_custom_z,0.00296,0.00828,0.7206,339,322.1,5,HAC+IA(bw=5),0.9064792899408285,False
